"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2020-01-08T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",4.14,"bereinigt"
"2020-01-08T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-08T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",981.35,"bereinigt"
"2020-01-08T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.79,"bereinigt"
"2020-01-08T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",3.68,"bereinigt"
"2020-01-08T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-08T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",978.94,"bereinigt"
"2020-01-08T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",8.05,"bereinigt"
"2020-01-09T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.49,"bereinigt"
"2020-01-09T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-09T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.74,"bereinigt"
"2020-01-09T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",68.06,"bereinigt"
"2020-01-09T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",11.06,"bereinigt"
"2020-01-09T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.11,"bereinigt"
"2020-01-09T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-09T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.4,"bereinigt"
"2020-01-09T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",10.17,"bereinigt"
"2020-01-09T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.21,"bereinigt"
"2020-01-09T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-09T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.11,"bereinigt"
"2020-01-09T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",11.29,"bereinigt"
"2020-01-10T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.89,"bereinigt"
"2020-01-10T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",1,"bereinigt"
"2020-01-10T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.22,"bereinigt"
"2020-01-10T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",55.64,"bereinigt"
"2020-01-10T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.92,"bereinigt"
"2020-01-10T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",9.12,"bereinigt"
"2020-01-10T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",2.25,"bereinigt"
"2020-01-10T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.84,"bereinigt"
"2020-01-10T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",10.89,"bereinigt"
"2020-01-10T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",8.84,"bereinigt"
