,Datum,Average_Temperature,Max_Temperature,Total_Rain_Duration,Average_Pressure,Average_Global_Radiation,Cloudiness,Moon Phase (%),IsVacationAargau,IsVacationZug,IsVacationSchwyz,IsVacationSt_gallen,IsVacationThurgau,IsVacationSchaffhausen,publicHolidayAargau,publicHolidayZug,publicHolidaySchwyz,publicHolidayStGallen,publicHolidayThurgau,publicHolidaySchaffhausen,publicHolidayZurich,Date_Occurrences,Weekday,Aargau_Week_After_Holiday,Aargau_First_Week_of_Holiday,Zug_Week_After_Holiday,Zug_First_Week_of_Holiday,Schwyz_Week_After_Holiday,Schwyz_First_Week_of_Holiday,St_gallen_Week_After_Holiday,St_gallen_First_Week_of_Holiday,Schaffhausen_Week_After_Holiday,Schaffhausen_First_Week_of_Holiday,Thurgau_Week_After_Holiday,Thurgau_First_Week_of_Holiday,Zurich_Week_After_Holiday,Zurich_First_Week_of_Holiday,Average_Temperature_5day_mean,Max_Temperature_5day_mean,Total_Rain_Duration_5day_mean,Average_Pressure_5day_mean,Average_Global_Radiation_5day_mean,Cloudiness_5day_mean
50,2019-02-20,7.466666666666666,12.746666666666668,0.0,974.3,128.67,0.6237766666666666,99.7418441772461,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Wednesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.356,12.764666666666667,0.0,975.9720000000001,135.378,0.6215406666666666
51,2019-02-21,8.253333333333334,14.733333333333334,0.0,978.3966666666666,137.44,0.6208533333333334,97.16004943847656,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Thursday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.834666666666666,13.078666666666667,0.0,974.4706666666667,135.046,0.6216513333333333
52,2019-02-22,9.25,12.206666666666663,35.95333333333333,982.49,57.48,0.6475066666666667,91.8468017578125,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Friday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.307333333333332,13.451333333333334,0.0,974.3353333333332,134.878,0.6217073333333334
53,2019-02-23,6.603333333333333,10.026666666666666,0.0,983.35,136.51,0.6211633333333334,84.3407211303711,0,0,1,0,0,0,0,0,0,0,0,0,0,3,Saturday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.886,13.224666666666668,7.190666666666667,975.6880000000001,118.258,0.6272473333333333
54,2019-02-24,5.003333333333333,10.246666666666668,0.0,984.2466666666666,154.91,0.61503,75.28900909423828,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Sunday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.897333333333333,12.528,7.190666666666667,978.0546666666667,117.91599999999998,0.6273613333333333
55,2019-02-25,7.333333333333333,14.04,0.0,984.0466666666666,155.83,0.6147233333333334,65.33169555664062,0,0,1,0,0,0,0,0,0,0,0,0,0,10,Monday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.315333333333333,11.991999999999999,7.190666666666667,980.5566666666666,123.002,0.625666
56,2019-02-26,8.046666666666667,14.23,0.0,982.4266666666666,153.87,0.6153766666666667,55.03074264526367,0,0,1,0,0,0,0,0,0,0,0,0,0,10,Tuesday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.288666666666667,12.250666666666666,7.190666666666667,982.506,128.434,0.6238553333333334
57,2019-02-27,9.076666666666666,17.13,0.0,976.88,154.49,0.61517,44.845848083496094,0,0,1,0,0,0,0,0,0,0,0,0,0,8,Wednesday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.247333333333333,12.149999999999999,7.190666666666667,983.3119999999999,131.72,0.6227600000000001
58,2019-02-28,10.96,18.44666666666667,0.0,971.7033333333334,154.26,0.6152466666666667,35.14179229736328,0,0,1,0,0,0,0,0,0,0,0,0,0,10,Thursday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.212666666666666,13.134666666666666,0.0,982.1899999999999,151.122,0.6162926666666667
59,2019-03-01,8.486666666666666,10.4,346.24,968.4666666666668,34.93,0.6550233333333333,26.20978164672852,0,0,1,0,0,0,0,0,0,0,0,0,0,11,Friday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.084,14.818666666666667,0.0,979.8606666666667,154.672,0.6151093333333334
60,2019-03-02,8.573333333333332,10.83,0.2866666666666667,969.6633333333332,76.5,0.6411666666666667,18.290119171142575,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.780666666666667,14.849333333333334,69.248,976.7046666666668,130.676,0.623108
61,2019-03-03,10.79,14.616666666666667,0.0,966.6466666666666,144.13,0.6186233333333333,11.589325904846191,0,0,1,0,0,0,0,0,0,0,0,0,0,3,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.028666666666666,14.207333333333334,69.30533333333334,973.8280000000001,114.80999999999999,0.6283966666666666
62,2019-03-04,8.783333333333333,14.026666666666666,135.01,957.74,37.28,0.65424,6.289299011230469,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Monday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.577333333333332,14.284666666666666,69.30533333333334,970.6719999999999,112.862,0.629046
63,2019-03-05,8.476666666666667,11.806666666666668,66.84333333333333,963.3766666666668,152.49,0.6158366666666667,2.5486323833465576,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Tuesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.518666666666666,13.664000000000001,96.30733333333333,966.8439999999998,89.41999999999999,0.63686
64,2019-03-06,8.443333333333333,12.743333333333334,0.0,958.0466666666669,127.19,0.62427,0.4978444874286651,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Wednesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.022,12.336,109.676,965.1786666666667,89.066,0.6369779999999999
